monitoring_location_id,agency_code,agency_name,site_number,site_name,district_code,country_code,country_name,state_code,state_name,county_code,county_name,minor_civil_division_code,site_type_code,site_type,hydrologic_unit_code,basin_code,altitude,altitude_accuracy,altitude_method_code,altitude_method_name,vertical_datum,vertical_datum_name,horizontal_positional_accuracy_code,horizontal_positional_accuracy,horizontal_position_method_code,horizontal_position_method_name,original_horizontal_datum,original_horizontal_datum_name,drainage_area,contributing_drainage_area,time_zone_abbreviation,uses_daylight_savings,construction_date,aquifer_code,national_aquifer_code,aquifer_type_code,well_constructed_depth,hole_constructed_depth,depth_source_code,revision_note,revision_created,revision_modified
USGS-382713123030401,USGS,U.S. Geological Survey,382713123030401,007N011W14NU01M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100904,,8.0,4.3,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,5,Accurate to + or - .5 sec (PLGR/PPS GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,,,,,81.7,,S,,,
USGS-382713123030403,USGS,U.S. Geological Survey,382713123030403,007N011W14NU03M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100904,,8.0,4.3,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,5,Accurate to + or - .5 sec (PLGR/PPS GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,,,,,32.56,,S,,,
USGS-382808122565401,USGS,U.S. Geological Survey,382808122565401,007N010W10H001M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100903,,211.0,1.6,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,5,Accurate to + or - .5 sec (PLGR/PPS GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,1984-06-08,,,,22.0,22.0,D,,,
USGS-382819123010001,USGS,U.S. Geological Survey,382819123010001,007N010W07D001M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100903,,42.0,1.6,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,5,Accurate to + or - .5 sec (PLGR/PPS GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,1994-11-03,,N100CACSTL,,99.0,110.0,D,,,
USGS-383001122540701,USGS,U.S. Geological Survey,383001122540701,008N009W31C002M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100902,,58.0,1.6,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,5,Accurate to + or - .5 sec (PLGR/PPS GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,1986-09-30,,N100CACSTL,,80.0,80.0,D,,,
USGS-383003122540401,USGS,U.S. Geological Survey,383003122540401,008N009W31C003M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100902,,48.0,1.6,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,1,Accurate to + or - .1 sec (Differentially-Corrected GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,,,N100CACSTL,,,,,,,
USGS-383003122540402,USGS,U.S. Geological Survey,383003122540402,008N009W31C004M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100902,,48.0,1.6,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,1,Accurate to + or - .1 sec (Differentially-Corrected GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,,,N100CACSTL,,,,,,,
USGS-383003122540403,USGS,U.S. Geological Survey,383003122540403,008N009W31C005M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100902,,48.0,1.6,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,1,Accurate to + or - .1 sec (Differentially-Corrected GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,,,N100CACSTL,,25.0,,S,,,
USGS-383016123041101,USGS,U.S. Geological Survey,383016123041101,008N011W27N001M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100802,,63.0,1.6,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,5,Accurate to + or - .5 sec (PLGR/PPS GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,1984-06-25,,,,30.0,30.0,D,,,
USGS-383017122580301,USGS,U.S. Geological Survey,383017122580301,008N010W28RU01M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100903,,45.0,4.3,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,5,Accurate to + or - .5 sec (PLGR/PPS GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,1983-09-26,,,,98.0,107.0,D,,,
USGS-383034122590701,USGS,U.S. Geological Survey,383034122590701,008N010W29H004M,06,US,United States of America,06,California,097,Sonoma County,92682,GW,Well,180101100903,,43.0,1.6,N,Interpolated from Digital Elevation Model,NAVD88,North American Vertical Datum of 1988,5,Accurate to + or - .5 sec (PLGR/PPS GPS).,G,"Global positioning system (GPS), Standard Positioning Service (SPS) or Precise Positioning Service (PPS)",NAD83,North American Datum of 1983,,,PST,Y,1994-12-01,,N100CACSTL,,99.0,110.0,D,,,
